term,translation,context,status,notes
preface,Lời nói đầu,,approved,
about openstax,Về OpenStax,,approved,
customization,Tùy chỉnh,,approved,
errata,Đính chính,,approved,
table of contents,Mục lục,,approved,
about the authors,Về các tác giả,,approved,
reviewers,Đội ngũ phản biện,,approved,
chapter,Chương,,approved,
chapter outline,Đề cương chương,,approved,
introduction,Giới thiệu,,approved,
chapter objectives,Mục tiêu chương,,approved,
learning outcomes,Kết quả học tập,,approved,
learning objectives,Mục tiêu học tập,,approved,
section,Mục,,approved,
bring it home,Bài học thực tiễn,,approved,
clear it up,Làm rõ vấn đề,,approved,
dig deeper,Tìm hiểu sâu hơn,,approved,
link it up,Kết nối kiến thức,,approved,
link to learning,Liên kết tới việc học,,approved,
work it out,Thực hành,,approved,
everyday connection,Kết nối thực tế,,approved,
what do you think?,Góc nhìn của bạn,,approved,
connect the concepts,Kết nối các khái niệm,,approved,
art connection,Kết nối hình minh họa,,approved,
evolution connection,Kết nối tiến hóa,,approved,
key terms,Thuật ngữ chính,,approved,
glossary,Bảng chú giải thuật ngữ,,approved,
key concepts,Khái niệm cốt lõi,,approved,
summary,Tóm tắt,,approved,
section summary,Tóm tắt mục,,approved,
chapter review questions,Câu hỏi ôn tập chương,,approved,
self-check questions,Câu hỏi tự kiểm tra,,approved,
review questions,Câu hỏi ôn tập,,approved,
section quiz,Trắc nghiệm theo mục,,approved,
short answer,Trả lời ngắn,,approved,
critical thinking questions,Câu hỏi tư duy phản biện,,approved,
personal application questions,Câu hỏi ứng dụng cá nhân,,approved,
problems,Bài tập,,approved,
exercises,Bài tập thực hành,,approved,
further research,Nghiên cứu thêm,,approved,
critical thinking case,Tình huống tư duy phản biện,,approved,
answer key,Đáp án,,approved,
references,Tài liệu tham khảo,,approved,
index,Chỉ mục,,approved,
knowledge check,Kiểm tra kiến thức,,approved,
concept check,Kiểm tra khái niệm,,approved,
exploring managerial careers,Khám phá nghề nghiệp quản lý,,approved,
career connection,Kết nối nghề nghiệp,,approved,
transition guide,Hướng dẫn chuyển đổi,,approved,
student and instructor resources,Tài nguyên dành cho sinh viên và giảng viên,,approved,
interactive exercises,Bài tập tương tác,,approved,
animations,Hoạt ảnh,,approved,
community hubs,Trung tâm cộng đồng,,approved,
figure,Hình,,approved,
table,Bảng,,approved,
assessments,Bài đánh giá,,approved,
senior contributing authors,Các tác giả đóng góp chính,,approved,
contributing authors,Các tác giả đóng góp,,approved,
coverage and scope,Phạm vi và nội dung bao quát,,approved,
pedagogical foundation,Cơ sở sư phạm,,approved,
additional resources,Tài nguyên bổ sung,,approved,
technology partners,Đối tác công nghệ,,approved,
answers to questions in the book,Đáp án cho các câu hỏi trong sách,,approved,
multiple choice,Trắc nghiệm,,approved,
appendix,Phụ lục,,approved,
"by the end of this section, you will be able to:","Đến cuối phần này, bạn sẽ có thể:",,approved,
credit:,nguồn ảnh: (hoặc ghi công:),,approved,
modification of work by,chỉnh sửa từ tác phẩm của,,approved,
source:,Nguồn:,,approved,
notable researchers,Các nhà nghiên cứu tiêu biểu,,approved,
also known as (hoặc a.k.a),hay còn gọi là,,approved,
(credit a: ...; credit b: ...),(nguồn ảnh a: ...; nguồn ảnh b: ...),,approved,
type,Loại / Phân loại,,approved,
adapted from,phỏng theo (hoặc được phỏng theo),,approved,
data from,Dữ liệu từ,,approved,
"credit ""left"": / credit ""right"": / credit ""center"":","nguồn ảnh ""trái"": / nguồn ảnh ""phải"": / nguồn ảnh ""giữa"":",,approved,
note:,Lưu ý:,,approved,
(source:,(Nguồn:,,approved,
public domain,Phạm vi công cộng,,approved,
creative commons license,Giấy phép Creative Commons,,approved,
attribution,Ghi công,,approved,
trademarks,Nhãn hiệu,,approved,
terms of use,Điều khoản sử dụng,,approved,
privacy policy,Chính sách bảo mật,,approved,
licensing,Cấp phép,,approved,
disclaimers,Tuyên bố miễn trừ trách nhiệm,,approved,
accessibility statement,Tuyên bố về khả năng tiếp cận,,approved,
philanthropic support,Hỗ trợ từ nhà tài trợ,,approved,
art attribution,Ghi công hình ảnh,,approved,
changes to the second edition,Những thay đổi ở phiên bản thứ hai,,approved,
test bank,Ngân hàng đề thi,,approved,
solution guide,Hướng dẫn giải,,approved,
getting started guides,Hướng dẫn bắt đầu,,approved,
